ITEM,CATEGORY,LISTED PRICE,PRICE with Tax,DATE PURCHASED
Mouth Masks,Health,7.99,8.48,2/1/2023
Bamboo Toothbrushes,Health,6.99,7.48,2/2/2023
Earbuds,Electronic,11.99,12.5,2/2/2023
Phone Chargers,Electronic,14.97,15.35,2/2/2023
Multi-Charging Cable,Electronic,7.99,8.48,2/6/2023
USB Charging Cable,Electronic,6.99,7.48,2/7/2023
Batteries,Electronic,7.99,8.77,2/7/2023
Charcuterie Board Wooden,Kitchen,21.99,22.56,2/27/2023
Sleeping Bag,Outdoor,19.99,21.54,3/22/2023
Maui,Beauty,7.99,8.11,3/23/2023
Kettle,Kitchen,16.99,17.55,3/23/2023
Scarves,Beauty,14.99,15.35,3/24/2023
Washclothes,Health,9.99,10.48,3/24/2023
Body Wash,Beauty,5.99,6.48,3/24/2023
Foot Sleeve,Health,7.99,8.48,3/24/2023
Calculator,Office,11.99,12.48,4/18/2023
Small Ironing Boards,Crafts,3.49,4.58,4/22/2023
Torch Lighter,Outdoor,9.99,10.48,4/25/2023
Battery Pack,Electronic,19.99,20.48,4/25/2023
Shampoo,Beauty,3.99,4.89,5/8/2023
Wooden Cooking Set,Kitchen,5.99,6.9,5/8/2023
Butane Refill,Outdoor,5.99,6.75,5/10/2023
Citronella Candles,Outdoor,14.99,15.32,5/11/2023
Door Lock,Home,25.99,27.32,5/12/2023
Chain lock,Home,9.99,10.96,5/12/2023
Screwdrivers,Outdoor,9.99,10.96,5/12/2023
Tide Pods,Home,21.99,22.52,6/2/2023
Weight Scale,Health,12.99,13.45,6/7/2023
Maui,Beauty,7.99,8.11,6/7/2023
Maxi Pads,Health,16.99,17.11,6/12/2023
Fly Trap,Outdoor,17.99,16.48,6/23/2023
Roach Trap,Outdoor,6.5,7.02,6/30/2023
Backpack,Home,19.99,21.48,7/3/2023
Headset,Electronic,18.99,19.5,7/12/2023
Heated Blanket,Home,25.99,27.52,7/25/2023
Tracefone,Electronic,54.99,58.48,10/25/2023
Switch Controller,Electronic,16.99,17.48,10/26/2023
Phone Case,Electronic,8.99,9.48,11/3/2023
